Date,Year,City,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI Level
1/1/2023,2023,Delhi,325.65,356.23,110.04,177.74,17.62,45.09,3.5,64.71,162.2,3.61,26.48,3.56,356.23,Very Poor
1/1/2023,2023,Mumbai,379.75,498,72.36,105.67,247.36,72.73,0.88,100.39,72.62,9.6,18.7,0.84,498,Severe
1/1/2023,2023,Chennai,381.1,32.13,52.92,71.39,171.74,93.9,1.11,86.99,51.02,3.6,32.59,4.15,381.1,Very Poor
1/1/2023,2023,Kolkata,139.02,336.64,10.27,15.74,172.62,13.03,0.31,135.61,105.47,9.88,30.58,0.18,336.64,Very Poor
1/1/2023,2023,Bengaluru,267.65,271.38,13.54,80.26,188.39,23.7,4.57,90.13,5.81,9,49.52,3.72,457,Severe
1/1/2023,2023,Hyderabad,307.33,80.17,142.3,125.88,158.9,14.8,0.71,35.37,34.11,2.28,12.32,4.62,307.33,Very Poor
1/1/2023,2023,Ahmedabad,174.98,168.26,44.74,98.68,84.11,47.99,1.44,19.36,173.38,1.8,0.95,0.5,174.98,Moderate
1/1/2023,2023,Pune,47.72,201.2,136.71,38.78,145.24,8.3,1.3,109.62,52.71,6.74,5.88,3.34,201.2,Poor
1/1/2023,2023,Jaipur,15.06,334.44,147.62,143.58,122.55,5.6,2.64,100.41,116.54,5.3,49.15,3.23,334.44,Very Poor
1/1/2023,2023,Lucknow,66.31,396.47,8.99,111.13,222.36,5.72,1.78,49.89,61.62,5.06,48.27,1.85,396.47,Very Poor
1/2/2023,2023,Delhi,276.08,278.7,56.5,127.77,154.57,98.64,3.52,124.28,44.96,4.06,6.73,3.85,352,Very Poor
1/2/2023,2023,Mumbai,15.55,395.97,105.09,41.2,135.34,37.01,0.71,34.24,114.05,5.8,48.74,4.24,395.97,Very Poor
1/2/2023,2023,Chennai,176.86,26.38,131.46,82.25,78.79,72.47,4.73,107.16,83.03,6.24,9.56,0.31,473,Severe
1/2/2023,2023,Kolkata,297.51,208.42,139.51,110.95,33.04,74.99,0.24,140.14,58.44,2.97,27.69,1.91,297.51,Poor
1/2/2023,2023,Bengaluru,66.06,76.3,81.5,25.01,132.31,47.95,1.07,90.86,38.79,4,28.12,3.54,107,Moderate
1/2/2023,2023,Hyderabad,45.32,151.74,27.58,198.89,157.91,26,1.47,81.36,100.95,8.36,3.02,3.06,198.89,Moderate
1/2/2023,2023,Ahmedabad,42.25,124.2,13.43,31.09,13.02,53.35,1.22,149.08,54.76,3.09,14.6,2.3,149.08,Moderate
1/2/2023,2023,Pune,71.17,372.93,67.96,113.4,17.59,54.29,3.75,29.96,128.02,7.14,10.85,0.07,375,Very Poor
